strategy,alpha,seed,vdf_delay,use_vdf,num_epochs,total_slots,runtime_seconds,adversarial_reward,slot_gain,fork_rate,reorg_rate,missed_slots,forks,reorgs,total_blocks,canonical_adversarial_fraction
forking,0.1,10,32,True,15,480,1.4450268330001563,0.11057692307692307,0.010576923076923067,0.029166666666666667,0.058333333333333334,0,14,28,480,0.0420353982300885
forking,0.1,20,0,False,15,480,1.4284733339991362,0.11538461538461539,0.015384615384615385,0.03333333333333333,0.06041666666666667,0,16,29,480,0.04434589800443459
forking,0.1,20,32,True,15,480,1.4891462080013298,0.09375,-0.0062500000000000056,0.022916666666666665,0.04375,0,11,21,480,0.04139433551198257
forking,0.1,30,0,False,15,480,1.4516977089988359,0.09375,-0.0062500000000000056,0.027083333333333334,0.052083333333333336,0,13,25,480,0.03296703296703297
forking,0.1,30,32,True,15,480,1.4793336670009012,0.0889423076923077,-0.01105769230769231,0.027083333333333334,0.04375,0,13,21,480,0.037037037037037035
forking,0.2,10,0,False,15,480,1.558664583000791,0.20432692307692307,0.0043269230769230616,0.06458333333333334,0.12083333333333333,0,31,58,480,0.09004739336492891
forking,0.2,10,32,True,15,480,1.511158457997226,0.24759615384615385,0.047596153846153844,0.07708333333333334,0.14583333333333334,0,37,70,480,0.1073170731707317
forking,0.2,20,0,False,15,480,1.5373601249993953,0.21634615384615385,0.016346153846153844,0.07083333333333333,0.12916666666666668,0,34,62,480,0.09330143540669857
forking,0.2,20,32,True,15,480,1.6294364589994075,0.15865384615384615,-0.041346153846153866,0.052083333333333336,0.09166666666666666,0,25,44,480,0.07568807339449542
forking,0.2,30,0,False,15,480,1.5151467499999853,0.23317307692307693,0.033173076923076916,0.07916666666666666,0.1375,0,38,66,480,0.10144927536231885
forking,0.2,30,32,True,15,480,1.5688757080024516,0.20673076923076922,0.006730769230769207,0.06875,0.12291666666666666,0,33,59,480,0.09026128266033254
forking,0.3,10,0,False,15,480,1.648163249999925,0.3125,0.012500000000000011,0.11041666666666666,0.18541666666666667,0,53,89,480,0.1534526854219949
forking,0.3,10,32,True,15,480,1.6808132080004725,0.2980769230769231,-0.0019230769230769162,0.1,0.175,0,48,84,480,0.14898989898989898
forking,0.3,20,0,False,15,480,1.643453667002177,0.3173076923076923,0.0173076923076923,0.10208333333333333,0.18541666666666667,0,49,89,480,0.1585677749360614
forking,0.3,20,32,True,15,480,1.6892016249985318,0.29086538461538464,-0.009134615384615352,0.09791666666666667,0.17083333333333334,0,47,82,480,0.1457286432160804
forking,0.3,30,0,False,15,480,1.6669382500003849,0.2956730769230769,-0.0043269230769230616,0.09583333333333334,0.175,0,46,84,480,0.14646464646464646
forking,0.3,30,32,True,15,480,1.679396084000473,0.3004807692307692,0.00048076923076922906,0.1,0.18125,0,48,87,480,0.1450381679389313
honest_baseline,0.1,10,0,False,15,480,1.3228475420000905,0.11538461538461539,0.015384615384615385,0.0,0.0,0,0,0,480,0.10208333333333333
honest_baseline,0.1,10,32,True,15,480,1.2944391250021,0.10096153846153846,0.0009615384615384581,0.0,0.0,0,0,0,480,0.08958333333333333
honest_baseline,0.1,20,0,False,15,480,1.300583166997967,0.10576923076923077,0.005769230769230763,0.0,0.0,0,0,0,480,0.09375
honest_baseline,0.1,20,32,True,15,480,1.3083909579981992,0.0985576923076923,-0.001442307692307701,0.0,0.0,0,0,0,480,0.0875
honest_baseline,0.1,30,0,False,15,480,1.3000264580005023,0.11057692307692307,0.010576923076923067,0.0,0.0,0,0,0,480,0.09791666666666667
honest_baseline,0.1,30,32,True,15,480,1.3050388330011629,0.0985576923076923,-0.001442307692307701,0.0,0.0,0,0,0,480,0.0875
honest_baseline,0.2,10,0,False,15,480,1.2873635830001149,0.2091346153846154,0.00913461538461538,0.0,0.0,0,0,0,480,0.20416666666666666
honest_baseline,0.2,10,32,True,15,480,1.3103589580023254,0.17548076923076922,-0.024519230769230793,0.0,0.0,0,0,0,480,0.175
honest_baseline,0.2,20,0,False,15,480,1.2984721250031726,0.20192307692307693,0.0019230769230769162,0.0,0.0,0,0,0,480,0.19791666666666666
honest_baseline,0.2,20,32,True,15,480,1.3027476249990286,0.1875,-0.012500000000000011,0.0,0.0,0,0,0,480,0.18541666666666667
honest_baseline,0.2,30,0,False,15,480,1.2826597500024945,0.21634615384615385,0.016346153846153844,0.0,0.0,0,0,0,480,0.21041666666666667
honest_baseline,0.2,30,32,True,15,480,1.2960656249997555,0.20192307692307693,0.0019230769230769162,0.0,0.0,0,0,0,480,0.19791666666666666
honest_baseline,0.3,10,0,False,15,480,1.2808675420019426,0.2980769230769231,-0.0019230769230769162,0.0,0.0,0,0,0,480,0.29791666666666666
honest_baseline,0.3,10,32,True,15,480,1.2974134579999372,0.27163461538461536,-0.028365384615384626,0.0,0.0,0,0,0,480,0.275
honest_baseline,0.3,20,0,False,15,480,1.2904341670000576,0.2980769230769231,-0.0019230769230769162,0.0,0.0,0,0,0,480,0.29791666666666666
honest_baseline,0.3,20,32,True,15,480,1.3457504579964734,0.2956730769230769,-0.0043269230769230616,0.0,0.0,0,0,0,480,0.29583333333333334
honest_baseline,0.3,30,0,False,15,480,1.4478660830027366,0.30528846153846156,0.005288461538461575,0.0,0.0,0,0,0,480,0.30416666666666664
honest_baseline,0.3,30,32,True,15,480,1.3019940000012866,0.2860576923076923,-0.013942307692307698,0.0,0.0,0,0,0,480,0.2875
